Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:08361007


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8361007;1;01/05/2020;1;84,8;402,5;29;19;1;1;1;;0;0,0;0,3;0,0;27,5;0,8;3,5;28,2;51,2;42,5;0,0;0,0;30,2;4,1;19,5;3,3;0,0;0,0;9,3;0,0;0,0;0,6;23,4;0,0;0,0;0,0;6,2;36,7;26,9;84,8;0,0;3,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/04/2020;1;27,4;60,0;21;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,5;1,9;1,5;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;3,2;18,2;27,4;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/03/2020;1;10,5;13,7;21;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,2;0,3;0,0;0,0;0,0;10,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,5;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/02/2020;1;1,4;1,4;25;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
8361007;1;01/01/2020;1;0,4;0,4;15;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/12/2019;1;120,9;141,1;13;9;2;2;2;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;120,9;1,0;0,0;0,0;0,0;0,5;1,1;4,1;0,0;0,0;0,0;3,0;0,0;0,0;0,3;5,2;5,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;
8361007;1;01/11/2019;1;63,5;144,1;22;12;1;1;1;;0;0,9;0,0;0,0;0,0;6,8;0,1;0,0;0,2;12,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,6;30,5;0,0;0,0;0,8;63,5;0,0;0,2;0,0;5,7;0,0;0,0;0,0;13,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/10/2019;1;4,9;10,4;8;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;3,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/09/2019;1;26,6;78,2;29;10;1;1;1;;0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;4,5;0,1;0,8;9,2;0,0;0,0;0,0;0,0;0,0;23,5;4,1;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;26,6;4,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/08/2019;1;33,3;160,0;6;15;1;1;1;;0;0,0;2,2;0,8;2,6;0,0;33,3;0,0;0,0;26,1;0,0;5,6;20,0;6,5;1,4;28,4;9,0;14,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;4,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/07/2019;1;80,7;293,5;31;19;1;1;1;;0;20,2;0,0;0,0;0,0;4,7;0,0;0,0;0,5;3,4;18,2;27,2;15,2;0,0;0,0;0,0;0,0;9,7;5,5;59,5;3,9;1,3;1,2;0,9;12,0;0,0;2,5;0,0;14,4;0,0;12,5;80,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/06/2019;1;45,0;251,2;18;23;1;1;1;;0;1,3;28,6;5,4;2,0;0,0;3,6;0,0;8,4;7,4;12,0;12,2;28,6;6,4;0,8;0,0;12,0;3,3;45,0;0,0;0,0;0,0;0,5;10,0;1,8;38,2;6,1;0,4;0,0;8,8;8,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/05/2019;1;74,8;517,6;28;24;1;1;1;;0;0,0;5,1;0,0;0,4;2,1;52,6;48,0;19,9;0,0;40,3;65,6;7,6;0,0;2,9;37,7;12,8;32,5;0,9;0,0;30,1;41,5;3,3;10,0;9,8;2,4;6,2;8,5;74,8;2,6;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/04/2019;1;6,7;13,9;26;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;1,0;0,9;6,7;3,9;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/03/2019;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/02/2019;1;1,0;1,0;8;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
8361007;1;01/01/2019;1;3,3;3,3;4;1;1;1;1;;0;0,0;0,0;0,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/12/2018;1;14,4;32,0;29;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,4;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/11/2018;1;23,4;61,3;29;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;15,4;8,6;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,4;4,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/10/2018;1;116,6;198,7;23;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;73,8;0,0;0,0;0,0;116,6;0,0;0,0;0,0;0,0;0,0;0,0;5,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/09/2018;1;38,3;120,1;3;9;1;1;1;;0;0,0;1,9;38,3;0,0;22,4;0,0;0,0;0,0;29,0;0,0;5,0;0,0;2,2;2,1;0,0;0,0;1,6;17,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/08/2018;1;46,9;94,8;28;12;1;1;1;;0;0,0;0,0;0,0;4,5;2,8;3,6;9,7;0,2;0,0;0,0;0,0;8,0;1,2;0,0;0,0;0,0;1,1;13,9;2,3;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;46,9;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/07/2018;1;37,5;337,1;29;26;1;1;1;;0;22,1;18,9;1,8;0,0;11,5;5,8;8,3;3,2;2,7;10,9;4,7;8,9;9,0;0,0;0,0;16,7;19,9;29,0;2,1;33,2;0,0;0,9;0,0;20,7;20,6;1,7;17,5;6,9;37,5;12,8;9,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/06/2018;1;40,3;333,8;5;24;1;1;1;;0;3,4;2,4;1,9;0,0;40,3;5,3;4,8;2,1;0,0;3,2;0,0;5,6;25,6;29,8;0,0;0,0;0,0;11,9;16,0;23,1;18,6;5,6;22,8;12,6;29,1;11,4;4,2;10,2;21,5;22,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/05/2018;1;;328,1;;;0;1;0;;0;25,8;18,8;17,1;0,0;0,0;0,0;3,9;0,0;0,0;0,0;12,2;10,1;16,3;30,8;0,0;0,0;0,0;21,0;14,7;0,0;28,3;0,0;39,7;11,4;8,4;;;60,7;8,9;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;4;1;1;1;
8361007;1;01/04/2018;1;70,0;221,6;23;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;46,4;0,0;0,0;0,0;0,0;0,0;0,0;70,0;56,4;0,0;0,0;18,4;11,6;18,8;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/03/2018;1;2,0;2,0;6;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/02/2018;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
8361007;1;01/01/2018;1;27,4;38,8;17;2;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;11,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/12/2017;1;48,3;128,2;30;5;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,1;0,0;0,0;0,0;11,3;23,2;0,0;48,3;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;3;3;1;3;1;
8361007;1;01/11/2017;1;37,4;43,8;25;2;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,4;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;0;
8361007;1;01/10/2017;1;40,6;131,7;10;5;3;3;3;;0;0,0;0,0;2,2;0,0;0,0;22,7;27,9;0,0;0,0;40,6;0,0;0,0;0,0;38,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;3;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/09/2017;1;37,5;202,5;19;10;1;1;1;;0;0,0;0,0;0,0;0,0;31,4;0,0;13,0;0,0;0,0;0,0;23,3;18,4;11,7;0,0;0,0;0,0;0,0;0,0;37,5;0,0;2,4;0,0;22,0;0,0;0,0;0,0;11,6;0,0;0,0;31,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/08/2017;1;71,6;290,4;4;10;1;1;1;;0;0,0;0,0;63,4;71,6;0,0;0,0;0,0;0,0;29,5;20,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,3;3,6;6,8;6,1;7,3;11,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/07/2017;1;33,0;316,4;4;19;1;1;1;;0;12,5;10,0;0,0;33,0;2,7;8,7;0,0;18,3;19,5;0,0;14,1;22,1;0,0;0,0;0,0;29,1;0,0;0,0;0,0;27,9;0,0;12,2;0,0;0,0;23,5;15,1;9,3;7,5;26,4;8,7;15,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/06/2017;1;91,5;433,6;22;18;1;1;1;;0;0,0;3,1;24,8;2,8;0,0;24,7;4,6;7,0;16,1;1,9;0,0;0,0;35,1;0,0;0,0;0,0;0,0;11,3;0,0;73,6;51,4;91,5;0,0;0,0;25,7;6,1;0,0;5,9;38,0;10,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/05/2017;1;172,7;548,7;5;15;3;3;3;;0;0,0;23,9;41,2;0,0;172,7;0,0;33,4;51,7;46,8;41,4;22,5;13,8;15,5;31,4;0,0;24,4;16,8;7,1;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/04/2017;1;15,3;23,1;29;3;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,1;0,0;2,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,3;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;0;
